Time,Rocket State,Kalman Altitude,Baro Altitude,Accel X,Accel Y,Accel Z,Accel Mag,Gyro X,Gyro Y,Gyro Z,Gyro Mag,Mag X,Mag Y,Mag Z,Mag Mag,Vertical Velocity,Vertical Accel,Parachutes
35806,0.00,-0.00,0.00,-0.09,0.25,9.73,9.73,-0.14,-0.00,-0.17,0.22,0.44,-0.42,0.79,1.00,-0.10,-9.81,0
36813,0.00,0.59,0.56,-0.05,0.23,9.79,9.79,-0.22,0.11,-0.15,0.29,0.44,-0.42,0.79,1.00,0.49,-0.04,0
37821,1.00,0.59,0.61,6.53,7.72,5.80,11.66,-3.28,7.63,2.47,8.67,0.44,-0.42,0.80,1.00,-0.41,-5.90,0
38024,1.00,0.68,0.70,7.87,5.05,11.65,14.93,-1.77,9.01,8.05,12.22,0.42,-0.42,0.80,1.00,1.43,-0.14,0
38124,1.00,0.76,0.72,5.20,8.26,9.04,13.30,-0.39,3.20,5.12,6.05,0.43,-0.42,0.80,1.00,0.92,-4.12,0
38224,1.00,0.78,0.73,3.62,3.80,13.85,14.81,0.00,-2.87,-3.32,4.39,0.44,-0.42,0.80,1.00,0.65,-0.67,0
38428,1.00,0.82,0.80,3.26,5.83,12.19,13.90,-0.31,-0.27,1.80,1.85,0.43,-0.42,0.80,1.00,0.62,-0.09,0
38528,1.00,0.85,0.83,3.24,5.96,12.52,14.24,-0.59,0.13,-0.63,0.87,0.43,-0.42,0.80,1.00,0.56,0.10,0
38628,1.00,0.86,0.83,3.09,4.20,12.39,13.45,-0.01,-0.06,0.21,0.21,0.43,-0.42,0.80,1.00,0.50,0.40,0
38830,1.00,0.84,0.82,3.29,4.58,12.15,13.40,-0.46,0.34,-0.15,0.59,0.43,-0.42,0.80,1.00,0.29,0.06,0
38930,1.00,0.85,0.83,3.08,4.62,12.85,14.00,-0.37,0.27,-0.19,0.50,0.43,-0.42,0.80,1.00,0.24,0.68,0
39030,1.00,0.86,0.85,3.16,4.52,11.70,12.94,0.45,-0.07,0.23,0.51,0.43,-0.42,0.80,1.00,0.21,-0.43,0
39232,1.00,0.80,0.79,3.54,5.11,11.41,12.99,-0.02,-0.08,0.19,0.21,0.43,-0.42,0.80,1.00,-0.07,-0.84,0
39332,1.00,0.80,0.82,3.34,4.45,11.46,12.74,-0.04,0.19,-0.22,0.29,0.43,-0.42,0.80,1.00,-0.07,-0.58,0
39432,1.00,0.82,0.84,3.17,4.23,12.95,13.99,-0.04,0.38,0.03,0.38,0.43,-0.42,0.80,1.00,-0.03,0.92,0
39638,1.00,0.88,0.91,3.80,4.42,12.34,13.65,-0.60,0.72,-0.17,0.96,0.43,-0.42,0.80,1.00,0.11,0.12,0
39743,1.00,0.90,0.88,4.69,4.88,11.98,13.76,0.14,-0.57,0.47,0.76,0.43,-0.42,0.80,1.00,0.11,-0.66,0
39843,1.00,0.89,0.87,4.04,5.35,12.65,14.32,-0.37,-0.26,-0.27,0.53,0.43,-0.42,0.80,1.00,0.06,0.08,0
40055,1.00,0.92,0.91,2.79,5.32,12.51,13.88,-0.20,-0.35,-0.26,0.48,0.43,-0.42,0.80,1.00,0.16,0.20,0
40160,1.00,0.94,0.98,2.75,5.58,12.03,13.54,-0.08,-0.66,-0.16,0.68,0.43,-0.42,0.80,1.00,0.18,-0.30,0
40262,1.00,0.97,0.96,2.19,5.28,13.62,14.77,-0.09,-0.21,-0.09,0.24,0.43,-0.42,0.80,1.00,0.26,1.43,0
